temp,precip,solar_rad
26.34,1.5,11.43
24.77,0.85,8.69
24.8,0.18,14.2
25.5,0.0,15.16
24.89,0.0,14.71
22.98,0.1,15.3
20.51,0.0,9.37
19.43,0.03,14.74
20.17,0.0,15.68
21.53,0.0,15.7
22.31,0.0,9.93
22.42,0.0,12.48
20.0,3.53,6.35
18.83,0.27,5.74
19.02,3.93,8.72
19.72,2.4,12.0
20.27,0.0,13.66
20.82,0.0,14.95
20.21,0.0,14.15
20.68,0.0,11.63
18.39,0.0,7.07
16.62,0.15,4.07
18.39,0.05,13.26
18.75,0.0,13.89
18.61,0.0,13.05
17.89,0.0,8.68
17.69,0.0,9.47
17.39,0.0,11.2
16.71,0.0,12.68
16.64,0.0,12.83
17.36,0.0,13.72
18.38,0.0,13.88
18.27,0.0,13.83
17.85,0.0,12.45
18.29,0.0,12.37
17.91,0.0,12.13
17.93,0.0,12.69
17.88,0.0,12.61
19.02,0.0,9.61
18.62,0.0,11.73
15.97,0.35,6.23
14.44,9.67,1.14
12.98,0.25,7.4
13.2,0.0,3.76
13.29,0.0,3.8
13.06,0.0,8.35
13.41,0.0,12.59
14.14,0.0,12.33
14.52,0.0,8.07
15.42,0.0,10.03
14.6,0.0,10.76
14.83,0.0,4.63
13.99,0.0,8.06
12.59,0.0,3.41
12.29,0.0,8.85
14.03,0.0,5.57
12.29,0.0,3.51
11.14,0.0,5.43
10.65,0.0,6.66
10.75,0.0,3.04
9.28,0.0,6.12
8.95,0.0,6.11
9.31,0.0,8.37
12.21,0.0,11.56
12.84,0.0,11.73
11.84,0.89,2.18
9.1,9.71,3.25
10.45,0.25,12.18
10.1,0.01,10.6
10.64,0.0,10.08
10.7,0.0,9.78
13.46,0.02,7.21
12.23,0.26,6.32
9.75,16.91,6.06
7.71,0.02,7.04
9.39,0.0,10.62
10.84,0.0,13.04
11.4,0.0,12.66
11.54,0.0,12.17
12.03,0.0,12.6
11.77,0.0,5.62
11.23,0.0,10.7
12.12,0.0,13.78
13.11,0.0,15.24
13.68,0.0,14.6
15.68,0.01,12.16
15.06,0.0,14.43
13.78,1.22,7.33
13.37,0.16,7.69
12.35,0.0,13.74
12.4,0.0,14.21
13.63,0.0,14.92
13.09,0.0,15.77
13.54,0.0,15.4
13.72,0.0,15.06
12.39,0.63,11.0
11.7,0.37,15.53
13.94,0.0,16.26
13.89,0.0,16.58
14.7,0.0,16.61
14.79,0.0,12.82
15.88,0.0,13.76
16.12,0.0,13.32
16.69,0.0,10.11
18.61,0.0,15.86
16.68,0.0,18.89
18.91,0.0,18.89
19.95,0.0,19.04
18.37,0.0,19.87
19.64,0.0,18.31
20.19,0.0,17.97
17.93,0.0,14.38
17.84,0.0,15.68
19.82,0.0,16.03
20.46,0.0,17.44
21.18,0.0,15.49
21.85,0.0,16.93
23.59,0.0,15.02
24.35,0.0,16.44
20.83,5.77,8.52
19.02,16.51,16.31
19.06,0.0,17.12
20.84,0.0,19.36
21.8,0.0,19.47
20.82,18.82,12.09
18.19,12.65,4.79
14.98,52.35,4.61
16.54,0.73,13.16
17.91,0.0,17.38
17.92,0.0,20.43
19.56,0.01,18.85
14.87,217.6,3.81
14.85,0.95,13.86
15.16,0.8,18.64
16.34,0.0,19.66
16.72,0.0,19.2
19.0,0.0,20.77
20.61,0.08,20.85
20.81,0.77,19.6
21.45,0.0,21.57
20.52,3.46,15.2
21.63,4.32,21.51
20.66,1.68,17.9
21.29,2.35,16.35
22.13,0.51,14.51
20.65,14.41,18.59
19.08,8.94,7.29
18.33,51.72,12.03
20.5,0.01,22.47
21.64,0.0,22.95
22.28,1.19,16.57
20.88,5.0,12.71
21.01,0.89,20.49
19.99,0.0,25.81
21.68,0.0,25.23
23.3,0.51,22.98
23.49,4.9,24.91
22.65,0.03,22.29
21.52,1.33,22.71
21.91,0.0,25.41
23.73,0.0,20.49
23.39,0.0,23.89
25.57,0.0,21.18
28.6,0.25,21.84
27.18,0.85,21.33
27.85,0.18,20.33
27.27,0.04,25.77
25.69,0.04,15.6
26.27,2.78,18.09
23.66,0.51,25.67
25.47,0.13,25.09
24.94,7.77,24.11
25.81,0.25,24.94
27.43,0.0,25.54
26.91,0.14,20.51
29.58,3.3,25.08
28.83,0.14,26.12
28.65,0.42,25.64
28.88,0.0,23.74
28.6,0.13,23.54
29.15,0.26,22.71
30.67,0.2,25.14
