temp,precip,solar_rad
24.8,0.0,11.02
25.24,0.0,12.27
24.87,0.0,10.85
24.67,0.0,10.98
23.22,0.0,14.64
20.8,0.0,13.38
20.85,0.0,14.4
21.69,0.0,14.88
22.96,0.0,14.98
22.44,0.0,13.0
21.2,0.0,11.69
20.49,0.01,10.08
20.56,0.0,12.8
21.08,0.0,12.97
20.22,0.0,12.54
20.47,0.0,12.05
20.39,0.0,12.95
21.23,0.0,13.3
20.94,0.0,13.43
21.43,0.0,11.51
21.19,0.0,11.06
20.13,0.0,11.03
20.14,0.0,11.44
20.95,0.0,10.93
21.15,0.0,12.76
21.26,0.0,12.93
21.06,0.0,13.87
20.57,0.0,14.16
21.74,0.0,12.81
20.63,0.0,11.82
19.98,0.0,11.38
20.41,0.0,13.18
20.31,0.0,12.81
20.34,0.0,11.65
20.32,0.0,11.76
21.38,0.0,11.34
21.49,0.0,11.33
20.87,0.0,9.87
19.53,0.0,7.43
19.27,0.0,6.27
17.93,0.0,9.36
18.08,0.0,10.51
17.48,0.0,10.31
19.32,0.0,12.52
18.78,0.0,12.4
17.4,0.0,11.33
17.54,0.0,11.44
17.85,0.0,10.99
17.91,0.0,10.68
18.59,0.0,12.63
19.05,0.0,12.57
19.44,0.0,12.9
19.83,0.0,12.17
17.19,0.0,11.93
15.96,0.0,13.99
16.81,0.0,12.72
17.46,0.0,11.57
19.77,0.0,10.78
20.07,0.0,9.54
16.95,0.0,6.13
14.73,0.0,8.63
14.81,0.0,11.32
16.32,0.0,6.62
15.43,0.0,4.39
16.17,0.0,4.7
16.38,0.03,8.2
14.89,0.05,9.71
13.3,0.0,9.4
12.75,0.0,8.52
11.04,0.0,12.47
12.11,0.0,14.0
11.67,0.0,14.23
11.5,0.0,12.92
12.13,0.0,11.72
8.65,1.47,4.96
9.57,1.75,2.53
10.15,1.26,13.11
12.56,0.0,13.75
12.36,0.0,12.67
11.05,0.0,13.37
13.09,0.0,14.43
13.84,0.0,10.41
15.22,0.0,13.74
15.51,0.19,9.38
12.97,1.71,6.02
13.19,1.98,7.69
13.24,6.28,5.84
13.85,0.0,12.38
15.38,0.0,12.81
16.67,0.0,13.36
16.96,0.0,13.32
15.72,0.0,14.23
15.94,0.0,13.94
16.05,0.0,9.94
14.62,0.0,8.69
15.0,2.85,4.83
12.66,0.0,16.71
12.71,0.0,16.2
15.23,0.0,13.91
16.74,0.0,15.45
15.97,0.0,17.83
15.9,0.0,18.7
17.13,0.0,17.71
16.04,0.0,17.23
17.71,0.0,17.48
19.89,0.0,13.2
21.19,0.0,12.7
21.9,0.0,8.86
22.19,0.0,14.38
22.02,0.0,13.96
22.79,0.0,15.77
20.01,0.0,19.93
17.82,0.0,21.57
17.0,0.0,19.98
18.48,0.0,19.62
20.02,0.0,19.39
20.31,0.0,18.79
21.86,0.0,19.96
22.28,0.0,18.6
22.1,0.15,16.89
20.28,3.78,20.19
20.04,0.0,19.37
18.96,0.0,17.31
20.06,0.0,19.27
21.26,0.0,20.23
22.14,0.19,13.61
22.43,0.35,15.2
20.54,0.77,18.83
19.34,0.0,17.72
17.55,0.0,19.46
17.27,0.0,20.34
16.6,0.0,20.41
18.44,0.0,20.39
18.95,0.0,16.81
18.8,0.0,12.76
20.22,0.0,17.55
23.89,0.0,20.49
25.16,0.0,19.64
24.95,0.19,20.66
26.15,0.0,19.11
27.28,0.0,20.35
26.35,0.0,15.91
25.35,0.0,18.05
28.02,0.0,22.16
29.88,0.0,19.07
30.37,0.0,22.84
30.92,0.0,20.26
31.59,0.0,21.15
31.45,0.0,20.0
32.53,0.0,18.97
31.81,0.0,20.91
31.62,0.0,22.83
31.45,0.01,24.51
32.5,0.0,22.93
31.79,0.0,22.4
29.55,3.25,19.89
26.68,0.11,25.54
24.5,0.0,24.32
24.13,0.0,25.88
26.26,0.0,25.99
28.15,0.0,25.66
30.38,0.0,25.43
31.87,0.0,25.7
33.8,0.0,24.39
33.8,0.0,25.73
34.58,0.0,25.89
35.91,0.0,26.58
36.38,0.0,25.68
36.28,0.0,25.97
36.11,0.0,24.94
36.07,0.0,24.44
35.84,0.0,24.4
35.33,0.5,18.25
31.68,3.31,22.39
29.85,0.01,26.47
31.57,0.0,26.54
33.13,0.0,26.45
33.0,0.0,25.17
34.4,0.0,25.0
32.11,0.0,21.82
32.43,0.0,27.7
