temp,precip,solar_rad
28.56,0.0,15.99
26.57,0.0,15.89
26.15,0.0,13.63
26.31,0.0,12.39
26.93,0.0,11.71
26.91,0.0,9.73
26.21,0.0,10.76
25.28,0.0,9.99
25.61,0.0,10.65
25.69,0.0,8.18
24.29,0.0,4.16
22.92,0.0,6.0
23.03,0.0,8.03
23.72,0.0,5.25
23.64,0.26,5.59
21.07,0.0,7.94
21.24,0.0,11.76
22.35,0.0,14.09
21.24,0.0,13.63
20.99,0.0,13.15
21.88,0.0,12.77
21.99,0.0,12.81
20.28,0.0,11.94
19.42,0.0,11.54
19.86,0.0,12.05
19.39,0.0,12.57
20.43,0.0,12.57
20.72,0.0,11.48
21.29,0.0,8.61
19.88,1.72,11.24
20.43,2.57,9.92
19.78,1.19,9.16
19.03,0.09,10.81
19.24,0.0,13.37
18.09,0.0,13.47
16.75,0.0,13.72
16.23,0.0,13.82
13.48,0.03,10.97
12.36,0.03,13.75
12.66,0.0,12.39
14.19,0.0,12.57
13.33,0.0,12.65
14.14,0.0,12.17
14.84,0.0,13.03
15.96,0.0,12.46
15.26,0.0,12.14
14.78,0.0,11.75
15.3,0.0,10.87
13.71,0.0,10.88
12.13,0.0,8.67
12.81,0.0,10.05
13.27,0.0,9.44
12.8,0.02,6.48
13.16,0.0,7.02
13.75,0.0,9.87
14.11,0.0,10.44
13.3,0.0,9.7
14.25,0.0,9.99
14.28,0.0,6.51
13.92,0.0,6.9
14.38,0.0,7.42
16.43,0.0,5.98
17.21,0.0,7.1
17.35,0.0,11.14
15.69,0.05,10.09
14.95,0.0,11.33
13.19,0.0,12.04
13.7,0.0,12.36
16.51,0.0,13.99
15.04,0.0,13.98
14.3,0.0,12.61
12.73,0.0,3.68
13.05,0.26,8.77
14.56,0.0,11.77
15.08,0.0,12.66
15.43,0.01,12.1
14.18,0.16,12.33
14.02,0.0,8.4
15.68,0.0,10.09
13.94,0.0,8.81
15.33,0.01,10.64
15.44,0.01,11.55
16.4,0.09,9.78
15.96,0.0,14.97
14.69,0.0,16.38
15.97,0.0,16.59
16.43,0.0,16.3
17.14,0.0,15.85
16.64,0.0,15.28
17.4,0.0,13.16
15.06,0.0,13.2
15.12,0.0,14.91
15.63,0.0,12.88
15.92,0.0,13.49
15.88,0.0,15.08
15.77,0.0,14.59
15.33,0.0,14.25
14.23,0.0,15.19
15.43,0.0,15.46
18.26,0.0,13.63
18.35,0.0,15.67
20.02,0.0,15.51
18.27,0.0,15.19
17.76,0.0,17.28
17.29,0.0,16.51
20.45,0.0,16.57
21.62,0.0,17.43
21.43,0.0,9.08
21.34,0.0,15.47
21.36,0.0,16.94
19.06,4.44,4.84
17.14,0.41,15.22
17.85,0.07,15.05
18.95,0.81,18.07
20.61,1.99,17.97
22.07,0.48,14.63
22.13,0.65,13.51
24.53,0.51,13.02
19.24,6.57,5.37
19.65,0.18,15.1
19.34,0.01,16.87
18.97,0.14,19.88
18.93,0.79,17.94
16.92,0.04,21.39
17.72,0.0,21.99
20.92,0.0,21.31
22.6,0.0,20.58
23.94,0.0,21.98
25.39,0.0,18.22
25.82,0.0,16.74
24.75,0.0,12.8
25.71,0.0,17.74
25.82,0.0,21.36
23.68,0.6,16.63
22.96,0.08,20.87
24.06,0.07,17.6
24.85,0.1,22.29
24.56,0.0,20.52
26.51,0.0,21.35
25.09,0.0,20.68
26.9,0.08,23.1
27.54,0.0,22.32
28.7,0.0,22.86
29.33,0.0,22.15
29.59,0.0,13.77
28.94,0.0,21.26
25.4,0.0,23.25
21.58,0.0,25.53
22.57,0.0,25.27
24.35,0.0,25.72
26.64,0.0,25.93
28.6,0.0,25.37
29.09,0.0,22.81
28.66,0.01,18.01
28.27,0.0,23.75
31.15,0.0,24.01
33.31,0.0,23.63
35.1,0.0,22.94
35.34,0.0,21.31
33.35,0.0,16.63
33.22,0.01,21.93
31.95,0.03,23.51
30.99,0.0,24.58
33.11,0.0,23.86
34.26,0.0,23.73
35.65,0.0,24.18
37.04,0.0,20.42
35.83,0.0,20.98
36.58,0.0,21.76
34.18,0.0,21.67
31.75,0.0,24.04
31.06,0.0,25.71
31.77,0.0,26.15
31.22,0.0,26.16
33.09,0.0,26.85
33.25,0.0,26.84
33.92,0.0,26.66
34.08,0.0,27.56
36.5,0.0,27.74
36.81,0.0,25.41
36.63,0.0,23.81
