temp,precip,solar_rad
27.5,0.0,11.39
24.35,0.0,11.18
22.22,0.0,15.58
20.44,0.0,17.55
20.15,0.0,15.65
19.81,0.0,16.27
21.0,0.0,15.77
22.44,0.0,14.54
21.19,0.0,12.13
21.43,0.0,10.21
24.02,0.0,9.37
22.48,0.0,9.91
22.44,0.0,8.51
21.76,0.0,12.34
20.3,0.0,13.07
21.38,0.0,13.47
22.12,0.0,13.15
22.01,0.0,13.0
21.2,0.0,11.57
21.75,0.0,14.12
21.05,0.0,14.09
20.43,0.0,9.67
19.77,0.0,13.67
21.0,0.0,14.52
21.53,0.0,14.18
21.74,0.0,12.93
22.07,0.0,8.17
21.72,0.0,10.72
21.16,0.0,11.04
20.96,0.0,13.26
19.17,0.0,12.9
19.62,0.0,12.0
18.38,0.0,10.88
19.89,0.0,10.26
18.7,0.0,10.93
16.72,0.0,10.13
16.72,0.0,9.43
17.05,0.0,9.94
17.46,0.03,8.87
16.51,0.72,9.22
14.34,0.15,9.66
14.5,0.0,12.1
14.24,0.0,11.19
14.64,0.0,11.8
14.59,0.0,12.17
14.94,0.0,13.1
15.83,0.0,13.73
15.19,0.0,13.43
14.75,0.0,12.71
13.87,0.0,12.36
14.25,0.0,12.65
13.7,0.0,12.23
13.02,0.0,10.53
12.08,0.0,10.56
11.92,18.5,12.52
11.36,0.0,11.79
10.76,0.0,13.21
11.13,0.0,11.49
12.87,0.0,10.87
12.75,0.0,10.66
11.92,0.0,10.34
13.32,0.0,9.58
11.48,0.0,11.31
12.45,0.0,11.69
12.38,0.0,8.55
11.67,0.0,10.46
11.59,0.0,11.81
12.14,0.0,10.5
13.0,0.0,10.06
13.74,0.0,13.84
13.94,0.0,11.02
11.56,0.0,11.09
11.87,0.01,7.8
10.68,0.0,12.67
11.72,0.0,13.88
13.39,0.0,12.23
13.91,0.0,10.55
12.59,31.82,13.46
13.13,0.0,11.32
12.09,0.0,10.81
13.59,0.86,6.47
12.46,1.85,7.26
11.58,0.01,9.17
10.95,0.0,9.76
10.58,0.0,11.77
11.35,0.0,13.97
10.51,0.0,11.49
12.12,0.0,14.36
12.63,0.0,15.34
13.08,0.0,13.38
14.74,2.88,3.14
11.88,3.24,5.65
10.5,0.0,13.44
12.44,0.0,14.25
14.01,0.0,15.14
15.98,0.0,12.49
16.72,0.0,13.91
13.94,0.01,13.24
12.25,6.61,12.92
10.53,0.0,14.76
12.35,0.0,16.78
13.69,0.0,14.02
14.53,0.0,13.85
14.74,0.01,7.67
15.25,0.01,10.25
16.3,0.38,16.37
14.73,0.01,15.98
15.38,0.0,17.91
16.28,0.0,15.54
14.24,2.58,8.59
14.32,0.7,10.4
12.12,8.0,3.59
15.54,0.33,17.83
13.93,0.0,19.28
14.84,0.0,19.17
14.66,0.0,19.19
15.36,0.0,15.85
13.55,0.26,17.04
13.87,0.0,18.18
13.99,0.0,17.69
13.69,0.72,7.71
12.05,6.32,3.77
14.04,0.14,7.81
15.9,0.0,20.51
17.32,0.0,21.57
17.92,0.0,20.98
17.72,1.09,19.51
16.3,1.14,12.69
18.39,0.0,21.79
19.13,6.58,17.57
17.46,6.22,16.59
16.9,0.0,19.92
17.24,0.4,20.67
17.7,0.0,20.2
18.98,0.0,21.26
18.41,0.0,17.41
21.47,0.0,22.26
21.26,0.1,12.52
21.15,0.04,20.28
20.94,0.0,20.96
21.53,0.0,23.09
23.09,0.05,21.19
23.15,0.04,18.23
21.65,0.17,13.44
24.05,0.0,22.37
25.8,0.0,21.82
28.4,0.0,18.14
29.65,0.0,17.01
29.98,0.03,18.35
26.88,0.01,23.71
26.27,0.0,24.98
27.8,0.0,25.35
30.54,0.0,23.38
31.87,0.0,23.05
32.97,0.0,21.5
33.08,0.0,22.96
32.06,0.0,22.33
32.45,0.03,20.71
31.66,0.0,23.88
31.27,0.04,21.29
31.09,0.0,25.34
30.37,0.96,16.2
29.48,9.29,17.06
28.04,3.09,20.15
28.34,1.55,23.63
25.41,3.78,13.89
24.28,1.88,18.1
22.26,1.3,10.97
24.02,0.0,21.27
27.2,0.0,26.66
29.75,0.0,25.9
31.51,0.0,26.03
32.68,0.0,25.59
34.43,0.0,25.34
32.5,0.0,18.45
30.26,0.0,19.66
32.48,0.0,25.34
33.58,0.0,25.07
33.18,0.0,25.77
32.99,0.0,25.27
31.38,0.0,25.24
