temp,precip,solar_rad
23.29,0.0,9.55
24.21,0.0,9.08
24.01,0.0,6.66
23.31,0.0,5.88
23.58,0.0,6.59
23.88,0.0,6.24
23.07,0.0,6.09
23.44,0.0,7.01
22.32,0.0,8.46
21.68,0.0,6.5
21.86,0.0,7.73
21.22,0.0,8.53
21.36,0.0,8.4
18.68,4.9,6.31
17.15,0.08,8.21
17.13,0.01,10.97
17.72,0.0,12.5
18.38,0.0,13.11
18.19,0.0,13.43
18.89,0.0,13.79
18.34,0.0,14.3
19.07,0.0,14.63
19.25,0.0,14.3
18.83,0.0,14.02
19.17,0.0,12.85
19.49,0.0,12.28
18.35,0.0,12.32
18.75,0.0,12.33
17.87,0.0,12.71
18.73,0.0,13.37
19.29,0.0,13.43
19.22,0.0,12.15
18.64,0.0,11.94
15.47,0.0,13.09
14.13,0.0,13.37
14.25,0.0,13.49
15.64,0.0,13.98
16.31,0.0,13.97
15.72,0.0,10.95
14.83,0.0,7.8
12.34,10.81,3.36
12.27,0.32,9.15
12.59,0.0,5.46
10.91,0.0,7.31
11.87,0.0,12.27
12.39,0.0,13.17
14.53,0.0,12.9
15.1,0.0,12.43
17.35,0.0,8.39
18.62,0.0,10.64
19.27,0.0,12.66
17.79,0.0,13.13
16.64,0.0,11.87
15.67,0.0,12.43
15.67,0.0,12.19
16.98,0.0,10.29
17.18,0.0,8.65
14.87,0.0,14.25
14.51,0.0,13.98
15.93,0.0,13.23
15.06,0.0,12.31
14.22,0.0,14.11
14.61,0.0,12.26
13.81,0.0,10.26
11.77,0.0,7.8
10.97,0.0,10.38
12.62,0.0,12.44
13.03,0.0,12.76
13.86,0.0,12.17
14.65,0.0,11.58
15.45,0.0,12.92
15.84,0.0,11.79
16.86,0.0,12.83
16.43,0.0,13.32
15.45,0.0,13.01
14.33,0.0,14.29
14.75,0.0,13.76
15.14,0.0,12.68
13.33,0.0,12.7
14.81,0.0,14.12
15.39,0.0,15.22
15.24,0.0,14.84
14.66,0.0,13.1
13.8,0.0,11.1
13.03,0.0,7.18
14.15,0.0,9.33
14.45,0.0,8.84
15.22,0.0,6.63
15.76,0.0,7.14
16.75,0.0,11.69
15.9,0.0,13.04
17.66,0.0,12.73
16.2,0.0,15.55
15.31,0.0,16.66
14.68,0.0,16.48
15.22,0.0,15.19
15.13,0.0,16.33
14.35,0.0,16.91
15.76,0.0,16.27
16.03,0.0,16.73
16.71,0.0,15.6
15.23,0.0,10.33
12.56,2.19,3.68
14.66,0.12,12.94
14.47,0.0,13.35
16.16,0.0,12.85
17.72,0.0,13.97
19.93,0.0,14.85
20.69,0.0,16.71
21.34,0.0,17.4
21.22,0.0,16.54
22.08,0.0,13.09
22.69,0.0,15.04
22.16,0.0,15.79
19.16,0.27,10.96
19.04,0.68,15.91
20.3,0.0,18.82
23.9,0.0,16.66
23.69,0.0,19.06
24.79,0.0,17.55
23.41,0.31,16.12
23.15,0.0,15.69
24.89,0.38,13.87
22.64,0.13,19.84
22.8,0.0,20.29
22.32,0.0,20.33
24.26,0.0,19.8
24.68,0.0,17.22
23.07,0.0,20.57
24.52,0.0,20.31
25.33,0.0,19.76
26.25,0.0,19.92
26.53,0.0,19.65
25.15,0.03,16.35
24.37,0.05,21.95
23.79,0.0,22.34
24.6,0.0,22.61
26.2,0.0,18.3
26.32,0.08,18.44
25.51,0.87,19.55
23.23,1.64,14.31
23.28,0.0,21.57
25.33,0.0,22.17
26.27,0.0,18.46
27.66,0.0,21.62
28.1,0.0,22.39
28.57,0.0,21.02
28.51,0.0,23.32
30.19,0.0,23.96
30.87,0.0,24.78
31.48,0.0,24.96
29.87,0.0,21.9
29.54,0.0,13.76
30.73,0.0,18.65
31.26,0.39,17.52
32.16,0.67,22.72
32.49,0.11,23.19
32.84,0.0,22.49
33.31,0.0,20.34
30.11,0.14,15.55
30.0,0.36,20.39
29.87,0.02,21.92
28.58,0.0,25.82
29.43,0.0,19.26
30.69,0.0,22.25
32.04,0.0,21.04
30.25,0.01,22.18
29.86,0.03,20.5
31.02,0.0,21.72
29.04,1.31,25.04
26.16,2.14,25.86
24.09,0.0,26.69
27.52,0.0,28.12
30.38,0.0,27.26
32.41,0.0,26.87
34.04,0.0,25.29
34.32,0.0,26.41
35.29,0.0,25.27
35.33,0.0,24.71
35.83,0.0,25.48
36.64,0.0,25.98
