temp,precip,solar_rad
23.91,0.0,15.09
22.93,0.0,16.15
23.38,0.0,15.73
22.3,0.0,15.54
22.46,0.0,14.82
22.36,0.0,13.68
22.73,0.0,15.14
23.88,0.0,14.01
22.97,0.0,12.78
21.79,0.0,10.72
20.72,0.0,10.66
20.85,0.0,11.05
20.72,0.0,9.95
21.85,0.0,7.05
19.89,0.61,8.37
17.36,0.11,11.59
17.5,0.0,14.15
17.73,0.0,15.17
18.07,0.0,13.03
16.18,0.0,12.2
16.12,0.0,15.39
17.79,0.0,8.57
15.43,0.0,7.67
15.83,0.32,7.46
14.24,61.14,6.6
14.06,0.0,12.82
14.46,0.0,14.36
15.77,0.0,14.12
16.35,0.0,13.64
15.71,0.0,12.77
16.42,0.0,13.16
17.61,0.0,13.4
18.14,0.0,12.95
17.04,0.0,11.2
16.16,0.0,9.73
16.72,0.0,9.94
17.05,0.0,10.63
16.21,0.09,7.53
14.36,1.32,6.19
14.83,0.07,11.82
13.44,7.52,3.49
12.92,0.01,11.37
11.88,0.0,7.5
12.38,0.0,5.44
10.53,0.0,11.69
10.56,0.0,12.89
11.21,0.0,13.43
12.08,0.0,12.7
13.78,0.0,12.98
14.38,0.0,12.19
14.38,0.0,12.07
14.97,0.0,13.08
14.99,0.0,12.63
14.08,0.0,12.44
14.12,0.0,11.27
13.96,0.0,12.05
11.33,0.0,11.37
9.67,0.0,11.44
10.42,0.0,11.64
11.72,0.0,12.92
11.89,0.0,11.97
12.05,0.0,13.39
10.04,0.0,10.22
11.42,0.0,8.66
13.4,0.0,2.78
13.38,0.8,5.7
12.77,0.95,5.7
13.38,0.0,10.63
12.36,0.0,9.72
12.37,0.0,10.17
12.88,0.0,11.55
13.55,0.0,14.56
12.72,0.0,12.58
12.41,0.0,12.12
11.9,0.0,6.46
12.17,0.0,10.48
11.88,0.0,9.47
11.32,0.0,5.88
10.17,0.0,7.53
12.4,0.0,12.72
14.87,0.0,13.45
16.09,0.0,14.81
16.37,0.0,11.88
14.3,0.0,14.54
11.69,0.0,15.85
12.51,0.0,15.22
12.19,0.0,14.84
12.52,0.0,15.51
12.44,0.0,16.13
13.06,0.0,15.01
13.77,0.0,14.2
14.8,0.0,13.58
12.99,0.0,13.77
14.35,0.0,13.96
14.99,0.0,13.89
14.5,0.0,15.2
15.31,0.0,15.1
15.66,0.0,15.45
16.07,0.0,15.25
17.04,0.0,15.38
17.7,0.0,15.4
18.14,0.0,15.63
18.18,0.0,15.27
18.17,0.0,14.04
20.02,0.0,13.86
18.86,0.0,14.57
18.71,0.0,14.45
18.72,0.0,15.23
19.38,0.0,14.71
18.77,0.0,15.47
19.73,0.0,14.97
20.54,0.0,15.46
21.38,0.0,16.09
22.94,0.0,16.72
22.91,0.0,17.21
22.1,0.0,16.01
23.26,0.0,18.22
24.5,0.0,16.76
21.98,0.0,19.82
19.89,0.0,21.19
20.96,0.0,20.0
22.13,0.0,20.69
23.54,0.0,20.37
23.64,0.0,20.02
23.8,0.0,20.86
26.22,0.0,16.92
24.35,0.0,19.38
23.69,0.0,20.06
24.09,0.0,20.21
25.53,0.0,18.76
25.91,0.0,17.44
23.13,0.25,19.46
23.72,0.0,17.35
25.58,0.0,14.05
24.59,0.0,16.58
26.37,0.0,15.0
26.47,0.0,17.43
26.35,0.0,15.33
26.54,0.0,19.73
28.0,0.31,17.41
26.01,3.87,11.81
23.24,10.04,18.37
21.67,5.05,20.78
21.41,0.0,20.4
23.23,0.0,20.98
25.52,0.0,22.45
27.07,0.0,22.69
28.31,0.0,21.05
29.02,0.0,23.27
26.32,0.0,26.36
25.84,0.0,27.59
25.66,0.0,26.92
25.4,0.0,26.99
26.16,0.0,26.52
27.76,0.0,20.64
25.6,0.02,18.72
25.08,1.91,10.78
24.38,0.0,25.31
25.62,0.0,25.94
27.97,0.0,25.58
29.16,0.0,24.98
30.63,0.0,23.29
29.66,0.0,22.61
30.68,0.0,22.75
31.69,0.0,22.3
30.28,0.1,19.24
25.45,1.26,14.42
27.05,0.0,25.37
29.1,0.0,24.48
29.57,0.0,22.29
25.21,2.03,4.64
26.27,0.01,26.56
29.94,0.0,24.92
26.93,0.15,27.82
28.13,0.0,28.33
31.06,0.0,27.15
33.2,0.0,26.28
33.93,0.0,25.49
34.95,0.0,24.42
34.99,0.0,21.93
32.66,0.0,19.13
