-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 11/01/2023 through 04/30/2024 in LST
Location: latitude  30.2019   longitude 71.4532 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2023,305,34.72,27.43,21.5,0.0,10.44
2023,306,33.5,25.82,19.75,0.0,10.22
2023,307,32.62,25.44,19.5,0.0,10.22
2023,308,31.59,25.22,20.34,0.0,9.92
2023,309,33.46,25.61,19.19,0.0,10.51
2023,310,33.92,26.28,21.19,1.2,12.6
2023,311,31.84,24.18,18.55,1.77,7.73
2023,312,32.19,24.37,18.34,0.25,11.38
2023,313,32.96,25.02,19.42,0.0,8.71
2023,314,27.41,20.97,16.11,0.77,12.8
2023,315,29.52,20.94,14.32,0.0,15.13
2023,316,29.7,21.53,14.62,0.0,14.68
2023,317,28.85,21.87,15.11,0.0,13.26
2023,318,29.27,21.04,14.01,0.0,13.85
2023,319,29.02,20.82,13.57,0.0,13.95
2023,320,29.57,21.06,14.23,0.0,14.19
2023,321,27.96,20.9,13.99,0.0,11.57
2023,322,26.93,20.0,15.43,0.0,10.5
2023,323,26.96,19.8,15.95,0.0,10.11
2023,324,27.49,19.92,13.97,0.0,11.33
2023,325,27.49,20.13,14.03,0.0,12.17
2023,326,29.78,20.45,14.32,0.0,12.79
2023,327,29.24,20.89,14.81,0.0,11.72
2023,328,26.84,19.63,14.21,0.0,10.57
2023,329,26.49,19.92,16.51,0.0,9.3
2023,330,24.71,19.18,15.23,0.0,8.99
2023,331,25.18,18.49,14.94,0.0,7.56
2023,332,26.53,18.5,12.72,0.0,10.96
2023,333,27.09,20.04,13.44,0.0,10.22
2023,334,27.95,20.59,15.81,0.0,10.16
2023,335,26.38,19.01,13.06,0.0,10.26
2023,336,26.52,19.29,13.75,0.0,12.28
2023,337,27.04,19.28,12.86,0.0,12.26
2023,338,27.75,19.48,12.87,0.0,12.91
2023,339,27.26,19.69,14.21,0.0,13.5
2023,340,26.72,19.4,13.54,0.0,13.21
2023,341,26.43,18.22,11.66,0.0,13.25
2023,342,27.27,17.51,11.21,0.0,12.11
2023,343,25.11,16.96,9.68,0.0,12.54
2023,344,25.76,17.09,9.43,0.0,12.6
2023,345,25.1,16.01,10.07,0.0,11.62
2023,346,22.5,14.03,8.14,0.0,12.12
2023,347,24.07,15.36,8.64,0.0,9.58
2023,348,23.99,16.13,10.26,0.0,7.97
2023,349,23.74,16.73,10.36,0.0,11.04
2023,350,23.47,15.54,9.77,0.0,9.52
2023,351,23.16,14.59,8.46,0.0,10.38
2023,352,23.58,16.03,10.04,0.0,11.75
2023,353,24.9,15.78,9.82,0.0,12.55
2023,354,26.35,16.79,10.03,0.0,13.05
2023,355,26.54,18.14,11.11,0.0,12.61
2023,356,25.29,17.33,13.07,0.0,5.67
2023,357,24.74,16.47,9.59,0.0,10.69
2023,358,23.32,15.85,10.12,0.0,9.91
2023,359,26.11,17.48,12.28,0.0,11.99
2023,360,24.55,17.2,13.43,0.0,10.23
2023,361,24.55,16.94,10.1,0.0,11.23
2023,362,25.26,16.86,11.91,0.0,12.38
2023,363,24.63,15.65,9.14,0.0,3.93
2023,364,22.99,15.1,9.41,0.0,7.3
2023,365,23.9,15.93,11.11,0.0,3.64
2024,1,23.02,15.07,9.68,0.0,3.68
2024,2,22.89,14.11,7.39,0.0,4.44
2024,3,22.3,13.98,7.36,0.0,4.18
2024,4,21.7,14.67,10.12,0.0,6.31
2024,5,20.45,13.88,8.33,0.0,3.78
2024,6,21.4,14.03,8.91,0.0,4.18
2024,7,21.82,13.72,8.38,0.0,5.24
2024,8,20.61,13.07,7.28,0.32,3.7
2024,9,20.23,12.73,6.37,0.02,7.64
2024,10,22.55,14.16,7.6,0.0,5.19
2024,11,24.26,13.94,6.79,0.0,5.46
2024,12,22.07,14.44,7.8,0.0,7.51
2024,13,24.72,16.21,10.58,0.0,4.72
2024,14,23.84,14.85,9.12,0.0,8.25
2024,15,24.54,14.71,8.03,0.0,5.95
2024,16,23.08,15.46,9.45,0.0,5.28
2024,17,22.84,14.96,8.32,0.0,8.7
2024,18,22.4,14.22,6.88,0.0,9.38
2024,19,23.71,14.85,8.22,0.0,8.55
2024,20,23.1,14.43,8.04,0.0,5.09
2024,21,23.59,14.53,8.12,0.0,9.43
2024,22,23.21,14.92,8.98,0.0,4.06
2024,23,21.06,13.48,6.78,0.0,4.62
2024,24,21.61,12.64,5.41,0.0,5.52
2024,25,20.86,12.4,7.14,0.0,3.94
2024,26,21.5,13.52,5.75,0.0,8.82
2024,27,24.06,16.36,8.3,0.0,12.02
2024,28,24.45,17.17,11.38,0.0,10.3
2024,29,25.05,17.53,10.18,0.0,11.84
2024,30,24.21,17.38,12.49,0.13,8.54
2024,31,26.94,17.95,11.57,0.0,10.42
2024,32,24.19,15.1,8.25,0.13,13.09
2024,33,23.67,13.73,5.99,0.01,11.17
2024,34,22.65,13.83,8.67,2.24,4.1
2024,35,22.2,14.37,7.83,0.33,15.31
2024,36,21.96,14.21,6.6,0.0,14.91
2024,37,21.97,14.68,7.13,0.93,15.03
2024,38,21.58,14.49,9.08,4.07,14.7
2024,39,24.14,14.91,8.22,0.07,17.29
2024,40,26.91,16.01,8.13,0.0,17.86
2024,41,26.44,17.19,8.61,0.0,17.18
2024,42,25.9,17.36,11.5,0.0,17.0
2024,43,23.24,17.15,12.06,0.0,10.6
2024,44,25.81,17.8,10.09,0.0,16.12
2024,45,27.03,17.92,9.17,0.0,17.07
2024,46,27.73,18.42,12.65,0.0,17.43
2024,47,28.88,18.88,12.0,0.0,17.15
2024,48,29.93,19.31,11.06,0.0,15.83
2024,49,29.21,20.59,13.72,0.0,11.14
2024,50,29.15,19.85,12.06,0.0,13.95
2024,51,25.68,17.13,10.05,0.0,16.3
2024,52,26.25,17.17,9.7,0.0,17.21
2024,53,25.63,16.68,8.74,0.0,18.28
2024,54,26.04,17.01,8.26,0.0,17.96
2024,55,25.83,16.61,7.7,0.0,19.16
2024,56,25.11,16.28,7.77,0.0,16.05
2024,57,18.96,14.49,11.09,0.16,11.86
2024,58,22.54,15.72,10.94,0.21,14.12
2024,59,27.69,19.59,12.5,0.09,19.03
2024,60,30.38,21.48,13.61,0.27,9.35
2024,61,22.14,17.26,14.08,4.55,7.68
2024,62,23.68,16.14,9.0,1.07,6.63
2024,63,21.38,12.95,5.15,0.47,20.09
2024,64,22.66,13.7,4.92,0.0,19.98
2024,65,22.82,14.48,6.83,0.0,16.52
2024,66,25.33,17.17,11.67,0.0,19.65
2024,67,26.08,17.27,9.62,0.06,19.76
2024,68,27.45,18.7,9.94,0.0,20.69
2024,69,30.25,21.45,11.51,0.0,21.37
2024,70,27.75,21.1,16.21,0.0,13.25
2024,71,30.39,21.76,14.31,0.0,14.19
2024,72,31.26,23.1,14.61,0.06,20.89
2024,73,29.92,22.63,16.11,0.47,19.17
2024,74,30.52,21.65,14.23,0.0,20.93
2024,75,31.45,22.16,13.15,0.0,23.18
2024,76,32.52,23.32,15.78,0.0,22.6
2024,77,32.08,24.24,16.56,0.0,19.66
2024,78,34.55,24.96,15.55,0.0,21.75
2024,79,35.61,25.58,16.56,0.0,22.7
2024,80,36.84,27.51,19.32,0.0,18.75
2024,81,37.96,29.29,21.15,0.01,17.06
2024,82,34.77,26.64,19.39,0.01,20.25
2024,83,37.42,28.19,18.97,0.01,17.64
2024,84,32.52,26.66,22.92,5.48,19.48
2024,85,35.73,27.64,19.22,0.0,22.11
2024,86,37.06,28.08,21.71,0.04,14.49
2024,87,32.12,26.78,22.84,0.85,15.75
2024,88,28.33,24.01,21.09,0.21,6.62
2024,89,35.17,27.0,19.7,0.9,19.18
2024,90,34.63,27.15,20.19,1.95,17.43
2024,91,32.02,24.02,16.83,0.01,23.76
2024,92,34.59,25.42,17.09,0.0,24.18
2024,93,36.43,27.3,18.14,0.0,24.36
2024,94,36.48,27.68,18.69,0.0,22.83
2024,95,36.69,28.61,20.58,0.0,21.63
2024,96,36.5,27.74,19.83,0.0,23.62
2024,97,37.7,28.67,18.82,0.0,25.37
2024,98,39.13,29.65,19.89,0.0,25.21
2024,99,40.89,30.68,20.12,0.0,25.08
2024,100,39.95,29.48,20.66,0.0,23.65
2024,101,40.51,30.41,22.81,0.0,22.2
2024,102,39.93,29.93,20.06,0.0,22.89
2024,103,39.19,30.34,21.63,1.16,17.06
2024,104,30.66,24.97,20.41,10.57,6.08
2024,105,27.18,22.6,19.05,0.91,8.7
2024,106,31.18,25.43,19.67,1.7,15.87
2024,107,34.13,26.42,19.55,0.0,22.56
2024,108,35.8,28.1,20.12,0.0,17.98
2024,109,38.01,29.67,21.97,0.0,23.02
2024,110,26.26,23.25,18.91,15.01,18.73
